Time (s),CH1 Conductivity (muS/cm),CH2 Conductivity (muS/cm)
984.0,859.0,951.0
985.0,879.0,951.0
986.0,898.0,961.0
987.0,898.0,971.0
988.0,898.0,961.0
989.0,869.0,951.0
990.0,889.0,931.0
991.0,889.0,931.0
992.0,898.0,941.0
993.0,898.0,961.0
994.0,898.0,971.0
995.0,898.0,961.0
996.0,879.0,951.0
997.0,869.0,941.0
998.0,869.0,951.0
999.0,879.0,951.0
1000.0,889.0,961.0
1001.0,898.0,961.0
1002.0,909.0,961.0
1003.0,889.0,971.0
1004.0,859.0,951.0
1005.0,859.0,931.0
1006.0,869.0,931.0
1007.0,889.0,941.0
1008.0,898.0,951.0
1009.0,898.0,961.0
1010.0,898.0,961.0
1011.0,889.0,961.0
1012.0,889.0,951.0
1013.0,859.0,941.0
1014.0,869.0,941.0
1015.0,859.0,931.0
1016.0,898.0,951.0
1017.0,898.0,961.0
1018.0,898.0,951.0
1019.0,889.0,951.0
1020.0,869.0,941.0
1021.0,879.0,931.0
1022.0,859.0,931.0
1023.0,869.0,961.0
1024.0,869.0,961.0
1025.0,898.0,961.0
1026.0,859.0,951.0
1027.0,879.0,951.0
1028.0,840.0,941.0
1029.0,859.0,941.0
1030.0,850.0,931.0
1031.0,889.0,941.0
1032.0,889.0,951.0
1033.0,898.0,961.0
1034.0,889.0,961.0
1035.0,889.0,941.0
1036.0,879.0,931.0
1037.0,859.0,931.0
1038.0,859.0,931.0
1039.0,869.0,941.0
1040.0,850.0,961.0
1041.0,898.0,951.0
1042.0,879.0,951.0
1043.0,879.0,951.0
1044.0,889.0,951.0
1045.0,850.0,951.0
1046.0,859.0,941.0
1047.0,850.0,931.0
1048.0,879.0,931.0
1049.0,889.0,931.0
1050.0,898.0,961.0
1051.0,898.0,951.0
1052.0,869.0,961.0
1053.0,859.0,961.0
1054.0,850.0,951.0
1055.0,850.0,931.0
1056.0,859.0,931.0
1057.0,840.0,951.0
1058.0,850.0,951.0
1059.0,869.0,961.0
1060.0,889.0,951.0
1061.0,889.0,961.0
1062.0,850.0,951.0
1063.0,879.0,921.0
1064.0,869.0,921.0
1065.0,850.0,931.0
1066.0,879.0,931.0
1067.0,859.0,961.0
1068.0,879.0,961.0
1069.0,859.0,971.0
1070.0,850.0,951.0
1071.0,859.0,931.0
1072.0,850.0,921.0
1073.0,859.0,931.0
1074.0,840.0,931.0
1075.0,840.0,951.0
1076.0,869.0,961.0
1077.0,889.0,951.0
1078.0,869.0,961.0
1079.0,889.0,951.0
1080.0,850.0,941.0
1081.0,869.0,931.0
1082.0,850.0,921.0
1083.0,859.0,921.0
1084.0,850.0,951.0
1085.0,850.0,951.0
1086.0,898.0,941.0
1087.0,869.0,951.0
1088.0,879.0,961.0
1089.0,850.0,961.0
1090.0,850.0,951.0
1091.0,859.0,931.0
1092.0,830.0,931.0
1093.0,840.0,931.0
1094.0,859.0,931.0
1095.0,850.0,951.0
1096.0,859.0,951.0
1097.0,869.0,961.0
